Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/security-state-staging/intermediates/bdeda58e-1628-4e55-87fb-0b68db6affa9.pem-882,1,27,27,27,0,0.00%,37.03704,94.15,15.3,2603
/security-state-staging/intermediates/32aafacb-ac6b-4e0a-b1e4-74b264fd4d66.pem-883,1,17,17,17,0,0.00%,58.82353,124.77,24.3,2172
/security-state-staging/intermediates/abf229aa-a29d-4d56-a0e0-00892adb194c.pem-884,1,13,13,13,0,0.00%,76.92308,199.82,31.78,2660
/security-state-staging/intermediates/042a667f-3d52-4905-b7ce-be55d86fec6e.pem-885,1,14,14,14,0,0.00%,71.42857,122.35,29.51,1754
/security-state-staging/intermediates/0cd057e5-8ae6-471f-b361-2f360736ea13.pem-886,1,25,25,25,0,0.00%,40,101.21,16.52,2591
/security-state-staging/intermediates/6071fae3-719d-47d3-affc-1e568f9365b0.pem-887,1,14,14,14,0,0.00%,71.42857,124.3,29.51,1782
/security-state-staging/intermediates/177a6f68-3005-4b93-8a1d-b32344504ae0.pem-888,1,14,14,14,0,0.00%,71.42857,157.78,29.51,2262
/security-state-staging/intermediates/7ab12434-0d0c-4347-822a-1a018c7369ba.pem-889,1,17,17,17,0,0.00%,58.82353,128.04,24.3,2229
/security-state-staging/intermediates/2b7ba355-fdd1-40c5-931a-ab2ab80990db.pem-891,1,13,13,13,0,0.00%,76.92308,160.68,31.78,2139
/security-state-staging/intermediates/9852f8f4-698c-4682-be77-b302a242b445.pem-892,1,14,14,14,0,0.00%,71.42857,146.14,29.51,2095
/security-state-staging/intermediates/b3076cf4-85f5-4d34-9510-ccbf6447dd9b.pem-895,1,29,29,29,0,0.00%,34.48276,56.03,14.24,1664
/security-state-staging/intermediates/85aef9ad-5fb3-41c1-8be0-97335974816d.pem-893,1,21,21,21,0,0.00%,47.61905,84.77,19.67,1823
/security-state-staging/intermediates/30b37c7c-3a4d-4dfb-b2c4-e2d5477cf21a.pem-894,1,16,16,16,0,0.00%,62.5,130.62,25.82,2140
/security-state-staging/intermediates/7ab12434-0d0c-4347-822a-1a018c7369ba.pem-896,1,16,16,16,0,0.00%,62.5,136.05,25.82,2229
/security-state-staging/intermediates/e375bc4e-f009-4334-9651-d8fd2934b83f.pem-897,1,14,14,14,0,0.00%,71.42857,149.83,29.51,2148
/security-state-staging/intermediates/9852f8f4-698c-4682-be77-b302a242b445.pem-898,1,16,16,16,0,0.00%,62.5,127.87,25.82,2095
/security-state-staging/intermediates/2b7ba355-fdd1-40c5-931a-ab2ab80990db.pem-899,1,24,24,24,0,0.00%,41.66667,87.04,17.21,2139
/security-state-staging/intermediates/85aef9ad-5fb3-41c1-8be0-97335974816d.pem-900,1,16,16,16,0,0.00%,62.5,111.27,25.82,1823
/security-state-staging/intermediates/30b37c7c-3a4d-4dfb-b2c4-e2d5477cf21a.pem-901,1,20,20,20,0,0.00%,50,104.49,20.65,2140
